a52dec 0.7.4-9
python2-urwid 1.3.1-2
python2-xdg 0.25-3
python2-zope-interface 4.3.2-1
qca-qt4 2.1.1-6
qpdf 6.0.0-2
qt4 4.8.7-11
qt5-base 5.7.0-7
qt5-declarative 5.7.0-3
qt5-location 5.7.0-1
qt5-sensors 5.7.0-1
qt5-webchannel 5.7.0-1
qt5-webkit 5.7.0-2
qt5-x11extras 5.7.0-1
qt5-xmlpatterns 5.7.0-2
qtkeychain 0.7.0-1
qtwebkit 2.3.4-4
randrproto 1.5.0-1
raptor 2.0.15-5
rasqal 1:0.9.33-1
rdesktop 1.8.3-2
re2 20160901-1
re2c 0.16-1
readline 7.0-1
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.25-1
remmina 1:1.2.0rcgit.16-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.8.0-1
rfkill 0.5-1
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
run-parts 4.8.1-1
s-nail 14.8.14-1
samsung_magician v2.0-0
sbc 1.3-1
sbsms 2.0.2-2
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl2 2.0.5-2
sdl2_gfx 1:1.0.1-1
sdl2_image 2.0.1-1
sdl2_mixer 2.0.1-1
sdl2_net 1:2.0.1-1
sdl2_ttf 2.0.14-1
sdl_gfx 2.0.25-1
sdl_image 1.2.12-3
sdl_mixer 1.2.12-4
sdl_net 1.2.8-2
sdl_pango 0.1.2-5
sdl_sound 1.0.3-5
sdl_ttf 2.0.11-3
seahorse 3.20.0+44+ga1474bb-1
sed 4.2.2-4
semver 5.3.0-1
serd 0.22.0-1
sg3_utils 1.42-1
shadow 4.4-3
shared-mime-info 1.7-1
shotwell 1:0.24.2-1
skype 4.3.0.37-8
skypeforlinux-bin 1.13.0.3-1
slang 2.3.0-1
smartgit 8.0.3-1
smartmontools 6.5-1
smbclient 4.5.1-2
smpeg 0.4.5-2
smpeg2 1:2.0.0-2
snappy 1.1.3-2
solaar 0.9.2-6
sord 0.14.0-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
source-highlight 3.1.8-10
spandsp 0.0.6-1
speech-dispatcher 0.8.5-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.15.2-1
sratom 0.4.6-1
sshfs 2.8-1
startup-notification 0.12-4
steam 1.0.0.53-1
steam-libs 1.0.0.50-3
steam-native-runtime 1.0.0.52-11
sublime-text-dev 3.3126-1
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
syslinux 6.03-6
systemd 232-4
systemd-sysvcompat 232-4
systemd-ui 3-2
t1lib 5.1.2-5
taglib 1.11.1-1
taglib-sharp 2.1.0.0-2
talloc 2.1.8-1
tar 1.29-2
tdb 1.3.11-1
teamviewer 11.0.67687-4
telepathy-glib 0.24.1-1
terminator 0.98-2
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
thunderbird 45.5.1-1
tslib 1.2-1
ttf-anonymous-pro 1.003-2
ttf-arphic-ukai 0.2.20080216.1-5
ttf-baekmuk 2.2-9
ttf-dejavu 2.37-1
ttf-droid 20121017-4
ttf-freefont 20120503-4
ttf-hannom 2005-4
ttf-inconsolata 20151221.480630d-1
ttf-liberation 2.00.1-6
ttf-linux-libertine 5.3.0-3
ttf-ms-fonts 2.0-10
ttf-opensans 1.10-1
ttf-roboto 5:131072-1
twolame 0.3.13-7
tzdata 2016j-1
udisks 1.0.5-3
udisks2 2.1.7-1
uglify-js 2.7.5-1
unace 2.5-9
unison 2.48.4-1
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usbutils 008-1
util-linux 2.28.2-2
v4l-utils 1.10.1-1
vala 0.34.3-1
vamp-plugin-sdk 2.6-1
vcdimager 0.7.24-7
vi 1:070224-2
vicious 2.1.3-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0086-1
vim-runtime 8.0.0086-1
virtualbox 5.1.10-1
virtualbox-host-dkms 5.1.10-1
vlc 2.2.4-5
volti 0.2.3-5
vte 0.28.2-8
vte-common 0.46.1-1
vte3 0.46.1-1
vulkan-icd-loader 1.0.33.0-1
vulkan-intel 13.0.2-2
wavpack 4.80.0-1
wayland 1.12.0-1
wayland-protocols 1.7-1
wd719x-firmware 1-3
webkit2gtk 2.14.2-2
webkitgtk 2.4.11-3
webkitgtk2 2.4.11-3
webrtc-audio-processing 0.3-1
wget 1.18-1
which 2.21-2
wicd 1.7.4-1
wicd-gtk 1.7.4-1
wildmidi 0.4.0-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-2
wqy-zenhei 0.9.45-5
wxgtk 3.0.2-5
wxgtk2.8 2.8.12.1-4
wxpython 3.0.2.0-2
x11-ssh-askpass 1.2.4.1-5
x265 2.1-2
xarchiver 0.5.4.7-1
xbindkeys 1.8.6-1
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-utils 1.1.1-4
xextproto 7.3.0-1
xf86-input-evdev 2.10.4-1
xf86-input-joystick 1.6.2-6
xf86-input-keyboard 1.9.0-1
xf86-input-libinput 0.22.0-1
xf86-input-mouse 1.9.2-1
xf86-input-synaptics 1.8.99.1-1
xf86-input-vmmouse 13.1.0-2
xf86-input-void 1.4.1-2
xf86-video-amdgpu 1.2.0-1
xf86-video-ark 0.7.5-7
xf86-video-ati 1:7.8.0-1
xf86-video-dummy 0.3.7-5
xf86-video-fbdev 0.4.4-5
xf86-video-glint 1.2.8-7
xf86-video-i128 1.3.6-7
xf86-video-intel 1:2.99.917+736+gbde9460-1
xf86-video-mach64 6.9.5-2
xf86-video-neomagic 1.2.9-2
xf86-video-nouveau 1.0.13-1
xf86-video-nv 2.1.20-7
xf86-video-openchrome 0.5.0-1
xf86-video-r128 6.10.1-1
xf86-video-savage 2.3.8-2
xf86-video-siliconmotion 1.7.8-2
xf86-video-sis 0.10.8-2
xf86-video-tdfx 1.4.5-7
xf86-video-trident 1.3.7-2
xf86-video-vesa 2.3.4-2
xf86-video-vmware 13.2.1-1
xf86-video-voodoo 1.2.5-7
xf86dgaproto 2.1-3
xf86driproto 2.1.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.8.0-1
xine-lib 1.2.6-10
xineramaproto 1.2.1-3
xkb-switch-git 20150826-4
xkeyboard-config 2.19-1
xlockmore 5.49-1
xorg-bdftopcf 1.0.5-1
xorg-docs 1.7.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-100dpi 1.0.3-2
xorg-fonts-75dpi 1.0.3-2
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.4-1
xorg-server-common 1.18.4-1
xorg-server-devel 1.18.4-1
xorg-server-utils 7.6-4
xorg-server-xdmx 1.18.4-1
xorg-server-xephyr 1.18.4-1
xorg-server-xnest 1.18.4-1
xorg-server-xvfb 1.18.4-1
xorg-server-xwayland 1.18.4-1
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
xorg-util-macros 1.19.0-1
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.9-1
xorg-xpr 1.0.4-2
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-2
xosd 2.2.14-8
xproto 7.0.31-1
xvidcore 1.3.4-1
xz 5.2.2-2
yajl 2.1.0-1
yaourt 1.8.1-1
yelp-tools 3.18.0+1+g193c2bd-1
yelp-xsl 3.20.1-2
zenity 3.22.0+1+gcd1647c-1
zeromq 4.1.5-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.8-7
zvbi 0.2.35-1
