a52dec 0.7.4-9
gtk-doc 1.25+27+gd3bccc0-1
gtk-engine-murrine 0.98.2-2
gtk-sharp-2 2.12.42-1
gtk-update-icon-cache 3.22.4-1
gtk2 2.24.31-1
gtk2-perl 1.2498-2
gtk3 3.22.4-1
gtkglext 1.2.0-10
gtkmm 2.24.4-2
gtkmm3 3.22.0-1
gtksourceview3 3.22.2-1
gtkspell 2.0.16-3
gudev-sharp 0.1-3
guile 2.0.13-2
gvfs 1.30.2+11+g7435ecc-1
gzip 1.8-2
harfbuzz 1.3.3-2
harfbuzz-icu 1.3.3-2
hddtemp 0.3.beta15.52-2
hdf5 1.10.0_patch1-1
hdparm 9.50-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.2-1
http-parser 2.7.1-1
hunspell 1.5.4-1
hwids 20161103-1
hyphen 2.8.8-1
i2c-tools 3.1.1-2
i7z 0.27.2.git1-4
iana-etc 20161101-1
ibus 1.5.14-1
ibus-googlepinyin 0.1.2-6
ibus-libpinyin 1.8.0-1
icu 58.1-2
idnkit 1.0-3
iftop 1.0pre4-2
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.6.6-2
imlib2 1.4.9-1
inetutils 1.9.4-5
inputproto 2.3.2-1
intel-tbb 2017_20161004-1
intel-ucode 20161104-1
intltool 0.51.0-1
iotop 0.6-4
iproute2 4.8.0-1
iptables 1.6.0-1
iputils 20161105.1f2bb12-1
iso-codes 3.70-1
itstool 2.0.2+5+g676f3f7-2
iw 4.9-1
jack 0.125.0-3
jansson 2.9-1
jasper 1.900.5-1
java-runtime-common 2-2
jbig2dec 0.13-1
jemalloc 4.3.1-1
jfsutils 1.1.15-4
jre7-openjdk 7.u111_2.6.7-1
jre7-openjdk-headless 7.u111_2.6.7-1
js17 17.0.0-4
json-c 0.12.1-1
json-glib 1.2.2+4+gd725fb5-1
jsoncpp 1.7.7-1
kbd 2.0.3-1
kbproto 1.0.7-1
kdelibs 4.14.26-1
keepassx2 2.0.3-1
keyutils 1.5.9-1
kismet 2016_07_R1-1
kmod 23-1
krb5 1.13.4-1
lame 3.99.5-3
lapack 3.6.1-2
lcms 1.19-5
lcms2 2.8-1
ldb 1.1.27-1
ldns 1.6.17-4
less 487-1
lesstif 0.95.2-6
lhasa 0.3.1-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.2-1
lib32-alsa-plugins 1.1.1-1
lib32-apulse 0.1.7-2
lib32-at-spi2-atk 2.22.0-1
lib32-at-spi2-core 2.22.0-1
lib32-atk 2.20.0-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.14.6-2
lib32-colord 1.3.3-1
lib32-cracklib 2.9.6-1
lib32-curl 7.51.0-1
lib32-dbus 1.10.12-1
lib32-dbus-glib 0.108-1
lib32-dconf 0.26.0-1
lib32-e2fsprogs 1.43.3-1
lib32-expat 2.2.0-1
lib32-flac 1.3.1-2
lib32-fontconfig 2.12.1-1
lib32-freeglut 3.0.0-1
lib32-freetype2 2.7-2
lib32-gcc-libs 6.2.1-1
lib32-gconf 3.2.6-2
lib32-gdk-pixbuf2 2.36.0+2+ga7c869a-1
lib32-giflib 5.1.4-1
lib32-glew 2.0.0-1
lib32-glew1.10 1.10.0-2
lib32-glib-networking 2.48.2-1
lib32-glib2 2.50.1-2
lib32-glibc 2.24-2
lib32-glu 9.0.0-3
lib32-gmp 6.1.1-1
lib32-gnutls 3.4.15-1
lib32-gtk2 2.24.30-1
lib32-gtk3 3.20.9-1
lib32-harfbuzz 1.3.1-2
lib32-icu 58.1-2
lib32-imlib2 1.4.9-1
lib32-jansson 2.9-1
lib32-js17 17.0.0-6
lib32-json-c 0.12.1-1
lib32-json-glib 1.2.2-1
lib32-keyutils 1.5.9-1
lib32-krb5 1.13.7-1
lib32-lcms2 2.8-1
lib32-libappindicator-gtk2 12.10.0-9
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcaca 0.99.beta19-1
lib32-libcanberra 0.30-4
lib32-libcap 2.25-1
lib32-libcroco 0.6.11-1
lib32-libcups 2.2.1-1
lib32-libcurl-compat 7.51.0-1
lib32-libcurl-gnutls 7.51.0-1
lib32-libdaemon 0.14-5
lib32-libdatrie 0.2.10-1
lib32-libdbusmenu-glib 16.04.0-2
lib32-libdbusmenu-gtk2 16.04.0-2
lib32-libdrm 2.4.74-1
lib32-libelf 0.167-1
lib32-libepoxy 1.3.1-3
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgcrypt15 1.5.6-4
lib32-libgnutls28 3.3.22-1
lib32-libgpg-error 1.24-1
lib32-libgudev 230-2
lib32-libgusb 0.2.9-2
lib32-libical 2.0.0-3
lib32-libice 1.0.9-1
lib32-libid3tag 0.15.1b-1
lib32-libidn 1.33-1
lib32-libindicator-gtk2 12.10.1-6
lib32-libjpeg-turbo 1.5.1-1
lib32-libjpeg6-turbo 1.5.1-1
lib32-libldap 2.4.44-1
lib32-libltdl 2.4.6-4
lib32-libmikmod 3.3.9-1
lib32-libmm-glib 1.6.2-1
lib32-libmng 2.0.3-1
lib32-libmodplug 0.8.8.5-6
lib32-libndp 1.6-1
lib32-libnewt 0.52.19-1
lib32-libnl 3.2.28-1
lib32-libnm-glib 1.4.0-2
lib32-libnm-glib46 0.9.8.10-3
lib32-libogg 1.3.2-1
lib32-libpciaccess 0.13.4-1
lib32-libpgm 5.2.122-3
lib32-libpng 1.6.26-1
lib32-libpng12 1.2.56-4
lib32-libproxy 0.4.13-1
lib32-libpulse 9.0-2
lib32-librsvg 2.40.16-1
lib32-librtmp0 2.4-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.27-1
lib32-libsodium 1.0.11-1
lib32-libsoup 2.54.1-1
lib32-libssh2 1.8.0-1
lib32-libtasn1 4.9-1
lib32-libteam 1.23-2
lib32-libthai 0.1.25-1
lib32-libtheora 1.1.1-10
lib32-libtiff 4.0.7-1
lib32-libtiff4 3.9.7-1
lib32-libtirpc 1.0.1-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libudev0-shim 1-3
lib32-libusb 1.0.21-1
lib32-libvorbis 1.3.5-1
lib32-libvpx 1.6.0-2
lib32-libvpx1.3 1.3.0-1
lib32-libwebp 0.5.1-1
lib32-libwrap 7.6.24-2
lib32-libx11 1.6.4-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.7-2
lib32-libxinerama 1.1.3-1
lib32-libxkbcommon 0.6.1-1
lib32-libxml2 2.9.3-1
lib32-libxmu 1.1.2-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.3-1
lib32-libxv 1.0.11-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.9.0-1
lib32-mesa 13.0.2-1
lib32-mesa-demos 8.3.0-2
lib32-mesa-libgl 13.0.2-1
lib32-ncurses 6.0-2
lib32-nettle 3.3-1
lib32-nspr 4.13-1
lib32-nss 3.27.1-1
lib32-openal 1.17.2-1
lib32-openssl 1:1.0.2.j-1
lib32-p11-kit 0.23.2-1
lib32-pam 1.3.0-1
lib32-pango 1.40.3-1
lib32-pcre 8.39-1
lib32-pixman 0.34.0-1
lib32-polkit 0.113-2
lib32-popt 1.16-6
lib32-qt4 4.8.7-6
lib32-readline 7.0-1
lib32-rest 0.8.0-1
lib32-sdl 1.2.15-6
lib32-sdl2 2.0.5-2
